domain,backlinks,creation_date,first_seen,DA,PA,TF,CF,external_link,spam_rating,referring_domains,add_date,end_date,status,tld_registered,crawl_results,global_rank,length,com_tld,net_tld,org_tld,biz_tld,info_tld,de_tld,root_ip
ShowHorseGallery.com,398.3 K,2009,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,101,59.3 K,16,-,registered,available,available,available,available,N/A
SocialMediaManchester.net,5.6 K,2010,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,96,0,21,-,registered,registered,available,available,available,N/A
Doxycycline.sbs,42.6 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,43,345.5 K,11,-,registered,registered,registered,registered,registered,N/A
casinoinjapan.com,13.0 K,2021,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,81,150.5 K,13,-,registered,available,available,available,available,N/A
propecia.sbs,44.9 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,51,299.6 K,8,-,registered,registered,registered,available,registered,N/A
clomid.sbs,42.7 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,51,369.0 K,6,-,registered,registered,registered,registered,registered,N/A
lexapro.company,4.0 K,2023,2019,,,,,,/ 18,,2024-12-21,2025-01-20,-,-,43,0,7,-,registered,registered,registered,registered,registered,
avodarttab.online,13.7 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,49,936.1 K,10,-,available,available,available,available,available,N/A
Vardenafil.sale,6.9 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,30,0,10,-,registered,registered,registered,available,available,N/A
uffafox.org,5,2018,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,28,0,7,-,registered,available,registered,available,available,N/A
nvpills.com,3.1 K,2022,2009,13,51,1,21,"3,123",0 / 18,162,2024-12-21,2024-12-25,-,-,34,0,7,-,registered,available,available,available,available,154.221.188.154
AnchorLove.it,26,2017,2018,1,43,0,7,26,11 / 18,9,2024-12-21,2025-01-20,-,-,16,0,10,-,registered,available,registered,available,available,N/A
buyanafranil.life,6.0 K,2023,2022,10,46,0,21,"5,967",11 / 18,154,2024-12-21,2025-01-20,-,-,27,0,12,-,registered,available,available,available,available,13.248.169.48
infosys.wiki,17.9 K,2022,2022,10,43,1,29,"17,856",14 / 18,415,2024-12-20,2024-12-23,-,-,14,500.9 K,7,-,registered,registered,registered,registered,registered,199.59.243.227
BuySildenafilPillsOnline.com,10.5 K,2022,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,66,0,24,-,registered,available,available,available,available,N/A
bijubg.com,71,2023,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,77,0,6,-,registered,available,available,available,available,N/A
GenIsotretinoin.com,16.1 K,2023,2021,18,47,0,19,"16,215",11 / 18,131,2024-12-21,2024-12-25,-,-,43,0,15,-,registered,available,available,available,available,199.59.243.227
Substances.wiki,16.9 K,2022,2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-20,2024-12-23,-,-,24,499.1 K,10,-,registered,registered,registered,available,registered,N/A
VareseMagazine.com,219,2023,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,176,0,14,-,registered,available,available,available,available,N/A
informiamo.com,82,2023,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,158,0,10,-,registered,registered,available,available,available,N/A
WorldCup072018.com,6.4 K,2021,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,169,894.5 K,14,-,registered,available,available,available,available,N/A
ProLocoLavenoMomBello.com,75,2023,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,189,0,21,-,registered,available,available,available,available,N/A
territoriomusicale.it,60,2022,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,189,0,18,-,registered,available,available,available,available,N/A
PlaySystem-Italy.com,34,2023,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,259,0,16,-,registered,available,available,available,available,N/A
bordeli.biz,87,2018,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,128,0,7,-,registered,available,registered,registered,registered,N/A
prestitiaglistatali.it,5,2020,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,47,0,19,-,available,available,available,available,available,N/A
paxil.tech,9.6 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,16,0,5,-,registered,registered,registered,available,registered,N/A
berlewen.co.uk,7,2013,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,32,0,8,-,available,available,available,available,available,N/A
LinuxDesktop.it,281,2016,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,154,0,12,-,registered,registered,registered,available,available,N/A
intimledi.biz,876,2018,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,70,0,9,-,registered,available,registered,registered,available,N/A
hbs-guide.com,10,2009,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,52,0,9,-,registered,available,available,available,available,N/A
lambdascientifica.com,114,2019,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,Yes,Yes,217,0,17,-,registered,available,available,available,available,N/A
CentroShiatsu.it,39,2016,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,Yes,Yes,110,0,13,-,available,registered,registered,available,available,N/A
tcprojects.be,431,-,2007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-20,2025-01-04,-,-,50,0,10,-,registered,available,registered,available,available,N/A
achnahairdfarm.co.uk,10,2022,2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,71,0,14,-,registered,available,available,available,available,N/A
toppucasino.com,6.8 K,2021,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,39,667.4 K,11,-,registered,available,available,available,available,N/A
bandarmbs.xyz,11.0 K,2022,2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,64,0,9,-,available,available,available,available,available,N/A
sldflp.com,6.5 K,2023,2022,10,47,0,20,"6,341",1 / 18,139,2024-12-21,2024-12-25,-,-,22,0,6,-,registered,available,available,available,available,N/A
WeForStudent.com,4.8 K,2023,2022,14,47,0,19,"4,853",1 / 18,127,2024-12-21,2024-12-25,-,-,27,0,12,-,registered,available,available,available,available,199.59.243.227
lacosteshoes.us,41.7 K,2020,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,161,928.4 K,12,-,registered,available,available,available,available,N/A
CheapestWrist.co,5.2 K,2021,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,39,0,13,-,registered,available,available,available,available,N/A
molodezhka4.info,14.0 K,2016,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2025-01-20,-,-,42,0,11,-,available,available,available,available,registered,N/A
emploicouturiere.com,169,2023,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,141,0,16,-,registered,available,available,available,available,N/A
BirkenStockSandals.name,45.8 K,2021,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-20,2024-12-24,-,-,180,804.7 K,18,-,registered,available,registered,available,available,N/A
buystromectolx.com,5.1 K,2023,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2024-12-21,2024-12-25,-,-,36,0,14,-,registered,available,available,available,available,N/A
